epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0439,1.86034,4.59645,4.37828,1.90605,0.66401,0.05269,0.02735,0.01107,0.00266,0.03189,0.00243,0.00078,2.10657,8.7779,3.89546,2.28696,0.09525,0.00025,0.00025
2,19.9331,1.85957,4.95055,3.1588,1.88053,0.11468,0.13283,0.01214,0.00422,0.09102,0.00264,3e-05,1e-05,2.62223,72.7376,31.3279,3.92644,0.0895473,0.000547277,0.000547277
3,23.4352,1.85948,4.34284,2.71932,1.92564,0.01663,0.05534,0.01275,0.00411,0,0,0,0,3.12328,61.4162,inf,4.27978,0.0838416,0.000841585,0.000841585
4,26.7841,1.8525,4.11606,2.52233,1.8967,0.09098,0.00568,4e-05,0,0.09093,0.00293,1e-05,0,4.09636,73.195,inf,11.057,0.0781329,0.00113292,0.00113292
5,30.1933,1.88021,4.09305,2.52768,1.95795,0,0,0,0,0,0,0,0,4.64231,1096,inf,27.1388,0.0724213,0.00142129,0.00142129
6,33.8774,1.89178,4.08051,2.5335,1.96113,0,0,0,0,0,0,0,0,4.11751,nan,inf,405.684,0.0667067,0.00170669,0.00170669
7,37.3336,2.00621,4.07277,2.48574,1.98982,0,0,0,0,0,0,0,0,4.18466,nan,inf,3619.33,0.0609891,0.00198912,0.00198912
8,40.6615,1.92605,4.07738,2.6016,2.01403,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0552686,0.00226857,0.00226857
9,43.972,1.89852,3.99975,2.54196,1.9436,6e-05,0.00587,4e-05,1e-05,0,0,0,0,3.91329,nan,nan,708.572,0.0495451,0.00254506,0.00254506
10,47.3253,1.84583,3.92408,2.39583,1.90405,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0438186,0.00281858,0.00281858
11,50.7901,1.89906,3.91963,2.43769,1.94961,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0380891,0.00308912,0.00308912
12,54.199,1.90703,3.93804,2.40221,1.94098,0,0,0,0,0,0,0,0,5.14255,1336.83,inf,29.8626,0.0323567,0.0033567,0.0033567
13,57.0212,1.8018,3.8832,2.34599,1.96274,0,0,0,0,0,0,0,0,4.77406,209.675,inf,11.5154,0.0266213,0.00362131,0.00362131
14,59.8825,1.85135,3.84219,2.33334,1.93568,0.18279,0.01437,0.00038,0.00013,0,0,0,0,nan,nan,nan,nan,0.0208829,0.00388295,0.00388295
15,62.666,1.82521,3.82606,2.23756,1.90843,0,0,0,0,0,0,0,0,4.19347,64.9705,26.8753,5.80459,0.0151416,0.00414161,0.00414161
16,65.5221,1.80221,3.76786,2.20954,1.88429,0.38618,0.01567,0.00325,0.00034,0,0,0,0,3.71456,37.7715,63.9287,5.57118,0.00939731,0.00439731,0.00439731
17,68.9858,1.84102,3.77955,2.26188,1.91725,0.0091,0.10712,0.01039,0.00557,0.46127,0.01041,0.00243,0.00077,3.5099,30.6327,inf,6.44755,0.004604,0.004604,0.004604
18,72.4735,1.80466,3.68568,2.16977,1.87522,0.10302,0.11016,0.01736,0.00584,0.09631,0.03763,0.0038,0.00107,3.39044,23.2062,inf,5.42661,0.00457925,0.00457925,0.00457925
19,75.9556,1.78722,3.6362,2.09919,1.86152,0.18626,0.07703,0.00551,0.00199,0.27469,0.039,0.00292,0.00055,3.33635,20.5926,inf,4.79005,0.0045545,0.0045545,0.0045545
