epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8669,1.84261,4.89895,4.59884,2.00273,0.28383,0.02837,0.00405,0.0012,0.18222,0.00438,0.00015,5e-05,3.32894,31.6669,41.8467,4.32559,0.0679064,0.000654971,0.000654971
2,40.4634,2.81485,6.0967,4.05645,2.64446,0.0001,0.00671,6e-05,1e-05,0.00011,0.00317,9e-05,1e-05,4.11566,267.468,inf,21.6845,0.0352332,0.0013151,0.0013151
3,52.2482,3.04102,5.7493,4.14222,2.90355,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00255342,0.00196862,0.00196862
4,64.2611,3.25864,5.64195,4.21668,3.1148,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,75.1623,3.22862,5.3726,4.16311,3.12928,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,85.5973,3.22968,5.18089,4.05715,3.05823,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,95.9992,3.17242,5.27415,3.91979,3.07482,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,106.274,3.10962,5.18384,3.8814,3.02287,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,116.609,2.8949,5.13912,3.72333,2.95199,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,126.761,2.84509,5.07038,3.72435,2.92184,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,137.319,2.92377,5.05743,3.65329,2.9466,0.00121,0.00202,0.00027,0.00012,0,0,0,0,nan,nan,nan,nan,0.001901,0.001901,0.001901
12,147.761,2.79834,5.01508,3.66399,2.8522,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0018911,0.0018911,0.0018911
13,158.372,2.86167,4.99444,3.69596,2.89821,0,0,0,0,1e-05,0.00216,1e-05,0,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
14,168.981,2.72965,5.07918,3.70664,2.84224,0.00055,0.00963,0.00029,3e-05,0.00021,0.00438,0.00011,1e-05,nan,nan,nan,nan,0.0018713,0.0018713,0.0018713
15,179.517,2.82843,5.13607,3.75899,2.82937,0.0005,0.01154,0.00035,0.00012,5e-05,0.00433,3e-05,1e-05,nan,nan,nan,nan,0.0018614,0.0018614,0.0018614
16,189.872,2.69306,5.07946,3.66382,2.80172,0.00124,0.03328,0.00077,0.00026,0.00018,0.01082,0.00012,2e-05,nan,nan,nan,nan,0.0018515,0.0018515,0.0018515
17,200.637,2.71845,5.046,3.69424,2.83196,0.00309,0.08492,0.0052,0.00131,0.00137,0.06736,0.00243,0.0005,nan,nan,nan,nan,0.0018416,0.0018416,0.0018416
18,212.085,2.75198,4.96886,3.66177,2.80256,0.00776,0.10499,0.00744,0.0012,0.001,0.05649,0.00274,0.00056,nan,nan,nan,nan,0.0018317,0.0018317,0.0018317
19,222.51,2.67792,4.9972,3.63386,2.74742,0.00776,0.10499,0.00744,0.0012,0.001,0.05649,0.00274,0.00056,nan,nan,nan,nan,0.0018218,0.0018218,0.0018218
20,233.063,2.55588,5.1755,3.58542,2.68683,0.00125,0.08291,0.00288,0.00063,0.00046,0.03575,0.001,0.00021,3.24075,7.24206,4.09345,3.3347,0.0018119,0.0018119,0.0018119
21,243.501,2.57253,5.02618,3.60714,2.72336,0.00329,0.13107,0.00571,0.00151,0.00158,0.04623,0.00199,0.00047,3.12093,9.45246,3.75,3.2409,0.001802,0.001802,0.001802
22,255.197,2.60967,5.00883,3.55231,2.66502,0.00153,0.0713,0.0041,0.001,0.00018,0.01299,0.00027,6e-05,nan,nan,nan,nan,0.0017921,0.0017921,0.0017921
23,265.686,2.53575,4.96044,3.54667,2.67402,0.00233,0.11709,0.00265,0.00088,0.00051,0.03276,0.00058,0.00015,3.17,5.29738,4.12232,3.26949,0.0017822,0.0017822,0.0017822
24,276.217,2.57847,4.95655,3.37876,2.61169,0.00276,0.11072,0.00271,0.00078,0.00054,0.02949,0.0004,9e-05,3.02718,5.36943,5.17761,3.20517,0.0017723,0.0017723,0.0017723
25,286.787,2.46614,4.98061,3.51919,2.61122,0.00385,0.14014,0.00823,0.00241,0.00049,0.03064,0.00046,0.00011,nan,nan,nan,nan,0.0017624,0.0017624,0.0017624
26,298.139,2.54978,4.90118,3.5266,2.6393,0.00374,0.15939,0.00662,0.00191,0.00056,0.03309,0.00045,0.00011,2.86088,5.31603,6.27298,3.24406,0.0017525,0.0017525,0.0017525
